komentar,clean,normal
"Pertandingan lawan iraq dipimpin oleh wasit yang memberi Qatar 3 penalti saat final piala Asia Vs Jordania. Firasat saya kalaupun wasit itu menghadiahi kita 3 penalti tapi irak akan mencetak 4 atau 5 gol, karena pelatih kita The special one.. PATRICK KLUIVERT 🔥😂",pertandingan lawan iraq dipimpin oleh wasit yang memberi qatar penalti saat final piala asia vs jordania firasat saya kalaupun wasit itu menghadiahi kita penalti tapi irak akan mencetak atau gol karena pelatih kita the special one patrick kluivert,pertandingan lawan iraq dipimpin oleh wasit yang memberi qatar penalti saat final piala asia vs jordania firasat saya kalaupun wasit itu menghadiahi kita penalti tapi irak akan mencetak atau gol karena pelatih kita the special one patrick kluivert
Tolong jgn pake formasi towel lagi,tolong jgn pake formasi towel lagi,tolong jgn pake formasi towel lagi
Wajahnya kok terlihat tidak semangat ya!!,wajahnya kok terlihat tidak semangat ya,wajahnya kok terlihat tidak semangat ya
Mau menang mau kagak Petrik harus out setuju angkat jempol,mau menang mau kagak petrik harus out setuju angkat jempol,mau menang mau kagak petrik harus out setuju angkat jempol
MATCHDAY IN JEDDAH ❌ <br>MAFIA IN JEDDAH ✅,matchday in jeddah brmafia in jeddah,matchday in jeddah brmafia in jeddah
Jujur SJ wkt Indonesia dikasih hadiah finalti dan di eksekusi Kevin diks tanpa sadar air mata ini langsung menetes karna saking senangnya😭dan berharap Indonesia lolos piala dunia😭 tapi berjalannya pertandingan sampai selesai ternyata Indonesia kalah😭 ini hati sedihnya mnt ampun😭 sampe nangis,jujur sj wkt indonesia dikasih hadiah finalti dan di eksekusi kevin diks tanpa sadar air mata ini langsung menetes karna saking senangnyadan berharap indonesia lolos piala dunia tapi berjalannya pertandingan sampai selesai ternyata indonesia kalah ini hati sedihnya mnt ampun sampe nangis,jujur sj wkt indonesia dikasih hadiah finalti dan di eksekusi kevin diks tanpa sadar air mata ini langsung menetes karna saking senangnyadan berharap indonesia lolos piala dunia tapi berjalannya pertandingan sampai selesai ternyata indonesia kalah ini hati sedihnya mnt ampun sampe nangis
terus lah bermimpi jangan bangun😅,terus lah bermimpi jangan bangun,terus lah bermimpi jangan bangun
"assalamu’alaikum dari arab saudi 🤝<br>semoga timnas indonesia sukses lawan irak! kalau saudi lolos langsung, semoga indonesia bisa finis di posisi kedua dan lanjut ke playoff antar benua biar tembus piala dunia. kalian pantas banget — rakyatnya baik, fans-nya luar biasa, timnya juga keren banget! 🙌",assalamualaikum dari arab saudi brsemoga timnas indonesia sukses lawan irak kalau saudi lolos langsung semoga indonesia bisa finis di posisi kedua dan lanjut ke playoff antar benua biar tembus piala dunia kalian pantas banget rakyatnya baik fansnya luar biasa timnya juga keren banget,assalamualaikum dari arab saudi brsemoga timnas indonesia sukses lawan irak kalau saudi lolos langsung semoga indonesia bisa finis di posisi kedua dan lanjut ke playoff antar benua biar tembus piala dunia kalian pantas banget rakyatnya baik fansnya luar biasa timnya juga keren banget
"Mainkan Egy dia sudah improve, insyallah",mainkan egy dia sudah improve insyallah,mainkan egy dia sudah improve insyallah
Just play proven system,just play proven system,just play proven system
"Paes, ridho, idzes, hubner, diks, james, Haye, pelupesy, verdonk, oeratmangun, Ole.<br><br>selebihnya duduk manis dibangku dlu ya....termasuk si Kluivert, gk ush di dlm tribun aja....karna gw udh males ngeliat mukanye.",paes ridho idzes hubner diks james haye pelupesy verdonk oeratmangun olebrbrselebihnya duduk manis dibangku dlu yatermasuk si kluivert gk ush di dlm tribun ajakarna gw udh males ngeliat mukanye,paes ridho idzes hubner diks james haye pelupesy verdonk oeratmangun olebrbrselebihnya duduk manis dibangku dlu yatermasuk si kluivert tidak ush di dlm tribun ajakarna gw udh males ngeliat mukanye
"Yaaaaa aampuuunn nih sama patrick cs.. sampe masih aja yakob,klock,beckham di maenin.. sampe kalah lawan irak mending pecat patrick cs..",yaaaaa aampuuunn nih sama patrick cs sampe masih aja yakobklockbeckham di maenin sampe kalah lawan irak mending pecat patrick cs,yaaaaa aampuuunn nih sama patrick cs sampe masih aja yakobklockbeckham di maenin sampe kalah lawan irak mending pecat patrick cs
Selamat para pejuang.,selamat para pejuang,selamat para pejuang
Bismillah 🇮🇩,bismillah,bismillah
4 gol terjadi vs irak,gol terjadi vs irak,gol terjadi vs irak
"Emil Audero/Maarten Paes/Ernando Ari/Nadeo<br><br>Sandy Walsh/Mees Hilgers/Shayne Pattynama, Kevin Diks, Jay Idzes, Rizky Ridho, Calvin Verdonk/Dean James/Pratama Arhan<br><br>Joey Pelupessy, Thom Haye/Ricky Kambuaya/Ivar Jenner<br><br>Miliano Jonathans/Witan, Olè Romeny, Marselino Ferdinan/Eliano Reijnders/Ragnar Oratmangoen/Egy Maulana Vikri<br><br>5-2-2-1 lawan Saudi &amp; Iraq",emil auderomaarten paesernando arinadeobrbrsandy walshmees hilgersshayne pattynama kevin diks jay idzes rizky ridho calvin verdonkdean jamespratama arhanbrbrjoey pelupessy thom hayericky kambuayaivar jennerbrbrmiliano jonathanswitan ol romeny marselino ferdinaneliano reijndersragnar oratmangoenegy maulana vikribrbr lawan saudi amp iraq,emil auderomaarten paesernando arinadeobrbrsandy walshmees hilgersshayne pattynama kevin diks jay idzes rizky ridho calvin verdonkdean jamespratama arhanbrbrjoey pelupessy thom hayericky kambuayaivar jennerbrbrmiliano jonathanswitan ol romeny marselino ferdinaneliano reijndersragnar oratmangoenegy maulana vikribrbr lawan saudi amp iraq
sholawatan sek lurr,sholawatan sek lurr,sholawatan sek lurr
"Apa pun hasilnya, kami tetap bangga pada kalian. Usaha dan ketulusan kalian jauh lebih berharga dari sekadar hasil. Terima kasih sudah memberikan yang terbaik 🤍",apa pun hasilnya kami tetap bangga pada kalian usaha dan ketulusan kalian jauh lebih berharga dari sekadar hasil terima kasih sudah memberikan yang terbaik,apa pun hasilnya kami tetap bangga pada kalian usaha dan ketulusan kalian jauh lebih berharga dari sekadar hasil terima kasih sudah memberikan yang terbaik
"Please jngan mainkan mark klok, beckham",please jngan mainkan mark klok beckham,please jngan mainkan mark klok beckham
kabarnya beckham dan klok cedera dan tidak bisa main nanti malam. <br><br>sebuah kerugian besar buat timnas irak ✅,kabarnya beckham dan klok cedera dan tidak bisa main nanti malam brbrsebuah kerugian besar buat timnas irak,kabarnya beckham dan klok cedera dan tidak bisa main nanti malam brbrsebuah kerugian besar buat timnas irak
"Vibes nya udah serasa timnas Indonesia main di piala dunia 2026,,",vibes nya udah serasa timnas indonesia main di piala dunia,vibes nya udah serasa timnas indonesia main di piala dunia
Ayooooo fokusssssssss,ayooooo fokusssssssss,ayooooo fokusssssssss
Saya harap para pemain di sesuaikan dan di tempatkan pada aslinya mereka main sehingga kenyamanan bermain akan terbangun rapi.,saya harap para pemain di sesuaikan dan di tempatkan pada aslinya mereka main sehingga kenyamanan bermain akan terbangun rapi,saya harap para pemain di sesuaikan dan di tempatkan pada aslinya mereka main sehingga kenyamanan bermain akan terbangun rapi
Ayo pulang marilah pulang marilah pulang bersama2 😂😂,ayo pulang marilah pulang marilah pulang bersama,ayo pulang marilah pulang marilah pulang bersama
"Serahin sama coach Pastoor. kalah juga gak marah netizen. karna emang ngebenahin sesuatu yg udah kusut emang susah, kusut nya di mulai dari laga Australis vs Indonesia. seandainya gak coba-coba mungkin kita gak akan bertanding disini skrg. udah duduk manis di depan layar sambil nonton yg belum lolos. sayangnya kita tidak puas terjerembab di lubang yang sama hanya sekali",serahin sama coach pastoor kalah juga gak marah netizen karna emang ngebenahin sesuatu yg udah kusut emang susah kusut nya di mulai dari laga australis vs indonesia seandainya gak cobacoba mungkin kita gak akan bertanding disini skrg udah duduk manis di depan layar sambil nonton yg belum lolos sayangnya kita tidak puas terjerembab di lubang yang sama hanya sekali,serahin sama coach pastoor kalah juga gak marah netizen karna emang ngebenahin sesuatu yang udah kusut emang susah kusut nya di mulai dari laga australis vs indonesia seandainya gak cobacoba mungkin kita gak akan bertanding disini skrg udah duduk manis di depan layar sambil nonton yang belum lolos sayangnya kita tidak puas terjerembab di lubang yang sama hanya sekali
"Mending panggil sadiki ramdhani di bandingkan klok/beckham, punya power, penjelajah, skill, teknikal",mending panggil sadiki ramdhani di bandingkan klokbeckham punya power penjelajah skill teknikal,mending panggil sadiki ramdhani di bandingkan klokbeckham punya power penjelajah skill teknikal
"timnas aja bermaulid, yg anti maulid nonton ini gimana ya reaksinya hahaha 😂",timnas aja bermaulid yg anti maulid nonton ini gimana ya reaksinya hahaha,timnas aja bermaulid yang anti maulid nonton ini gimana ya reaksinya hahaha
PatrickOut,patrickout,patrickout
Pengen dah kerja jadi kitman gitu seru kali yaa 😂😂,pengen dah kerja jadi kitman gitu seru kali yaa,pengen dah kerja jadi kitman gitu seru kali yaa
Erick Thohir berkata...tidak usah saling mnyalahkan....sypa suruh kalian mimpi untuk piala dunia...😂😂😂...<br>Lebih baik bermimpi aja biar bUMn semakin membaik.,erick thohir berkatatidak usah saling mnyalahkansypa suruh kalian mimpi untuk piala duniabrlebih baik bermimpi aja biar bumn semakin membaik,erick thohir berkatatidak usah saling mnyalahkansypa suruh kalian mimpi untuk piala duniabrlebih baik bermimpi aja biar bumn semakin membaik
Semenjak pelatinya raja judi petrik sekarang nggak antusias banget liat Timnas,semenjak pelatinya raja judi petrik sekarang nggak antusias banget liat timnas,semenjak pelatinya raja judi petrik sekarang tidak antusias banget liat timnas
Gak nyangka Patrick begitu gobloknya masukin Beckham dan marklok starter duluan 😂😂😂😂,gak nyangka patrick begitu gobloknya masukin beckham dan marklok starter duluan,gak nyangka patrick begitu gobloknya masukin beckham dan marklok starter duluan
Gw sangat yakin timnas menang dgn selisih 2 gol asalkan line-up yg diturunkan benar2 pemain terbaik dan layak utk main!,gw sangat yakin timnas menang dgn selisih gol asalkan lineup yg diturunkan benar pemain terbaik dan layak utk main,gw sangat yakin timnas menang dgn selisih gol asalkan lineup yang diturunkan benar pemain terbaik dan layak utk main
"Yakob ,yance ,beckam,marklok Out jangan di mainin",yakob yance beckammarklok out jangan di mainin,yakob yance beckammarklok out jangan di mainin
Filing gak enak,filing gak enak,filing gak enak
OUT PATRICK KLUIVERT,out patrick kluivert,out patrick kluivert
timnas Indonesia kita cuma punya satu nyawa sekarang untuk menuju piala dunia.. tolong fokus.. 😂,timnas indonesia kita cuma punya satu nyawa sekarang untuk menuju piala dunia tolong fokus,timnas indonesia kita cuma punya satu nyawa sekarang untuk menuju piala dunia tolong fokus
Ngapain bikin konten min?kami lagi sedih malah nambah nambahin😥,ngapain bikin konten minkami lagi sedih malah nambah nambahin,ngapain bikin konten minkami lagi sedih malah nambah nambahin
"Pemain kaya Lilipaly bahkan di panggil ke Round 4 pun sebenernya ga layak, apalagi masuk DSP kaya kemarin, pemain kaya Nathan malah ga dimasukin ke DSP, aneh",pemain kaya lilipaly bahkan di panggil ke round pun sebenernya ga layak apalagi masuk dsp kaya kemarin pemain kaya nathan malah ga dimasukin ke dsp aneh,pemain kaya lilipaly bahkan di panggil ke round pun sebenernya tidak layak apalagi masuk dsp kaya kemarin pemain kaya nathan malah tidak dimasukin ke dsp aneh
"kiper : Martin pas<br>belakang : Jay , Ridho, Jastin<br>Kiri : Verdonk<br>kanan : Kelvin dik<br>Tengah : Joy &amp; Haye<br>penyerang : Ole , Jonatan , Ragnar <br><br>🔥 🔥 🔥",kiper martin pasbrbelakang jay ridho jastinbrkiri verdonkbrkanan kelvin dikbrtengah joy amp hayebrpenyerang ole jonatan ragnar brbr,kiper martin pasbrbelakang jay ridho jastinbrkiri verdonkbrkanan kelvin dikbrtengah joy amp hayebrpenyerang ole jonatan ragnar brbr
Plis jngan hujat pemain ...<br>Tetep yg slh itu pelatih ..<br>Dikasi diaspora k pakek super Lik..<br>Kalah menang pasang muka datar..👊👊👊🤲,plis jngan hujat pemain brtetep yg slh itu pelatih brdikasi diaspora k pakek super likbrkalah menang pasang muka datar,plis jngan hujat pemain brtetep yang slh itu pelatih brdikasi diaspora k pakek super likbrkalah menang pasang muka datar
Balikin STY,balikin sty,balikin sty
Allahhuma sholi ala sayidina muhammad indonesia menang 4-0🎉,allahhuma sholi ala sayidina muhammad indonesia menang,allahhuma sholi ala sayidina muhammad indonesia menang
Saya percaya<br>Timnas kita<br>mampu gasak Irak<br>materi pemain²<br>sudah dilevel yg sama<br>tinggal bagaimana <br>coach Patrick <br>pintar membaca<br>kondisi pemain<br>yg akan diturunkan<br>Klok dan becham<br>di bench aja<br>Semangat Garuda<br>insyaallah kita<br>ke piala dunia🏆 <br>Aamiin 🤲,saya percayabrtimnas kitabrmampu gasak irakbrmateri pemainbrsudah dilevel yg samabrtinggal bagaimana brcoach patrick brpintar membacabrkondisi pemainbryg akan diturunkanbrklok dan bechambrdi bench ajabrsemangat garudabrinsyaallah kitabrke piala dunia braamiin,saya percayabrtimnas kitabrmampu gasak irakbrmateri pemainbrsudah dilevel yang samabrtinggal bagaimana brcoach patrick brpintar membacabrkondisi pemainbryg akan diturunkanbrklok dan bechambrdi bench ajabrsemangat garudabrinsyaallah kitabrke piala dunia braamiin
"apapun hasilnya nanti janganlah saling menyalahkan mereka sudah berusaha semaksimal mungkin , sisakan ruang untuk ikhlas🇲🇨",apapun hasilnya nanti janganlah saling menyalahkan mereka sudah berusaha semaksimal mungkin sisakan ruang untuk ikhlas,apapun hasilnya nanti janganlah saling menyalahkan mereka sudah berusaha semaksimal mungkin sisakan ruang untuk ikhlas
"yang awal dikuatirin wasit, eh ternyata harus lebih kuatir ke pelatih sendiri",yang awal dikuatirin wasit eh ternyata harus lebih kuatir ke pelatih sendiri,yang awal dikuatirin wasit eh ternyata harus lebih kuatir ke pelatih sendiri
rumah PK bisa di jarah gk ... tolol banget keak anggota DPR,rumah pk bisa di jarah gk tolol banget keak anggota dpr,rumah pk bisa di jarah tidak tolol banget keak anggota dpr
"Tim ini potensinya besar, namun pelatihnya level amatir di eropa",tim ini potensinya besar namun pelatihnya level amatir di eropa,tim ini potensinya besar namun pelatihnya level amatir di eropa
"Wes Ojo kakean alasan,,musuh Iran kudu menang,,kalah gk usah balik Kabeh Nang Indonesia",wes ojo kakean alasanmusuh iran kudu menangkalah gk usah balik kabeh nang indonesia,wes ojo kakean alasanmusuh iran kudu menangkalah tidak usah balik kabeh nang indonesia
"we believe ,,, bermain dengan bangga , penuh rasa percaya, demi lambang Garuda di dada .. bismillah Indonesia menang atas Irak ,, we believe",we believe bermain dengan bangga penuh rasa percaya demi lambang garuda di dada bismillah indonesia menang atas irak we believe,we believe bermain dengan bangga penuh rasa percaya demi lambang garuda di dada bismillah indonesia menang atas irak we believe
Sudah sampai dititik ini.. kita hanya bisa mendukung dengan tulus apapun hasil nya,sudah sampai dititik ini kita hanya bisa mendukung dengan tulus apapun hasil nya,sudah sampai dititik ini kita hanya bisa mendukung dengan tulus apapun hasil nya
"boss memang kita emang gak bs muluk2 ke PD26, tapi kalo bisa diusahakan kenapa malah nyeleneh sattttt!!!!!<br>secara game kemarin sebenernya 100% bisa dimenangin kalo strateginya BENER!!!",boss memang kita emang gak bs muluk ke pd tapi kalo bisa diusahakan kenapa malah nyeleneh satttttbrsecara game kemarin sebenernya bisa dimenangin kalo strateginya bener,boss memang kita emang gak bs muluk ke pd tapi kalo bisa diusahakan kenapa malah nyeleneh satttttbrsecara game kemarin sebenernya bisa dimenangin kalo strateginya bener
Terima kasih...,terima kasih,terima kasih
Last Hope.....timnas show your quality 😊,last hopetimnas show your quality,last hopetimnas show your quality
"Pemain Liga 1 di skip atau jgn di mainkan kecuali Riski Ridho, Jika msh berharap Masuk Pildun Laga krusial",pemain liga di skip atau jgn di mainkan kecuali riski ridho jika msh berharap masuk pildun laga krusial,pemain liga di skip atau jgn di mainkan kecuali riski ridho jika msh berharap masuk pildun laga krusial
Pssi dan jajaran nya tai lah,pssi dan jajaran nya tai lah,pssi dan jajaran nya tai lah
Takut banget sama line up lawan IRAK 😢😢,takut banget sama line up lawan irak,takut banget sama line up lawan irak
"Bismillah barokah sholawat, bibarkatil musthofa rasulillah saw, semoga Indonesia Menang Lawan Irak 2-0 Biidznillah..Alfatihah...",bismillah barokah sholawat bibarkatil musthofa rasulillah saw semoga indonesia menang lawan irak biidznillahalfatihah,bismillah barokah sholawat bibarkatil musthofa rasulillah saw semoga indonesia menang lawan irak biidznillahalfatihah
Tuhan Yesus semoga menang Tuhan dan lolos aminn❤😊,tuhan yesus semoga menang tuhan dan lolos aminn,tuhan yesus semoga menang tuhan dan lolos aminn
Bismilah yakop sayuri jgn maen sma klok,bismilah yakop sayuri jgn maen sma klok,bismilah yakop sayuri jgn maen sma klok
Beckham Klok Eliano Haye Kecapean Baru pulang dari Bangkok,beckham klok eliano haye kecapean baru pulang dari bangkok,beckham klok eliano haye kecapean baru pulang dari bangkok
"Cemana mau menang kalau pelatihnya begini, tidak memberikan peforma terbaik, dan tidak melihat situasi tim mana yang cocok bertanding di lapangan",cemana mau menang kalau pelatihnya begini tidak memberikan peforma terbaik dan tidak melihat situasi tim mana yang cocok bertanding di lapangan,cemana mau menang kalau pelatihnya begini tidak memberikan peforma terbaik dan tidak melihat situasi tim mana yang cocok bertanding di lapangan
Semoga Indonesia bisa menang lawan irak dan Indonesia ngegolin 3 4gol Aamiin,semoga indonesia bisa menang lawan irak dan indonesia ngegolin gol aamiin,semoga indonesia bisa menang lawan irak dan indonesia ngegolin gol aamiin
"Hati-hati Patrick main sambun lagi, pakai skema 4-3-3, pasti kalah",hatihati patrick main sambun lagi pakai skema pasti kalah,hatihati patrick main sambun lagi pakai skema pasti kalah
"CORET YAKOB,KLOK,BEKAM",coret yakobklokbekam,coret yakobklokbekam
PECAT PATRIK IRENG... GAK BECUS JD PELATIH. PEMAIN PEMAIN AMPAS LAPIS 3 KOQ BISA BISANYA DIMAINKAN DI LAGA PENTING.. CUIHHH,pecat patrik ireng gak becus jd pelatih pemain pemain ampas lapis koq bisa bisanya dimainkan di laga penting cuihhh,pecat patrik ireng gak becus jd pelatih pemain pemain ampas lapis koq bisa bisanya dimainkan di laga penting cuihhh
"Erik Tohir LG bhgia bgt, Krn pelatih yg di rekutnya bagus bisa kalah sama arab",erik tohir lg bhgia bgt krn pelatih yg di rekutnya bagus bisa kalah sama arab,erik tohir lg bhgia banget krn pelatih yang di rekutnya bagus bisa kalah sama arab
